"","OBJECTID","Field1","ID","Species","n","freq","Class","X","Y"
"247",264,264,"GS4","Tulip poplar",5,"71%","Canopy",-78.169895,38.547087
"253",270,270,"GS5","Tulip poplar",1,"11%","Canopy",-78.178616,38.544055
"259",276,276,"GS6","Tulip poplar",1,"10%","Canopy",-78.180108,38.543187
"263",280,280,"GS8","Tulip poplar",2,"33%","Canopy",-78.176944,38.542294
"265",282,282,"HW1","Tulip poplar",3,"60%","Canopy",-78.19969215,38.58467681
"268",285,285,"HW10","Tulip poplar",1,"17%","Canopy",-78.19806542,38.58738005
"270",287,287,"HW11","Tulip poplar",4,"57%","Canopy",-78.19808123,38.58463793
"273",290,290,"HW12","Tulip poplar",3,"38%","Canopy",-78.19631707,38.58373775
"280",297,297,"HW3","Tulip poplar",1,"25%","Canopy",-78.19851357,38.58663849
"283",300,300,"HW4","Tulip poplar",1,"17%","Canopy",-78.19673378,38.58442414
"291",308,308,"HW7","Tulip poplar",1,"17%","Canopy",-78.1954092,38.58320865
"296",313,313,"HW9","Tulip poplar",5,"62%","Canopy",-78.19471473,38.58482218
"299",316,316,"JM10","Tulip poplar",7,"100%","Canopy",-78.220841,38.609323
"300",317,317,"JM11","Tulip poplar",6,"75%","Canopy",-78.217368,38.611351
"304",321,321,"JM12","Tulip poplar",1,"25%","Canopy",-78.217433,38.609884
"305",322,322,"JM13","Tulip poplar",4,"100%","Canopy",-78.219322,38.60723
"312",329,329,"JM16","Tulip poplar",2,"29%","Canopy",-78.226217,38.605819
"316",333,333,"JM17","Tulip poplar",2,"29%","Canopy",-78.222802,38.609037
"319",336,336,"JM2","Tulip poplar",6,"86%","Canopy",-78.22392,38.606527
"324",341,341,"JM3","Tulip poplar",1,"8%","Canopy",-78.22677,38.607791
"328",345,345,"JM4","Tulip poplar",1,"14%","Canopy",-78.222904,38.610793
"331",348,348,"JM6","Tulip poplar",4,"80%","Canopy",-78.220892,38.613015
"341",358,358,"JM9","Tulip poplar",6,"60%","Canopy",-78.2252,38.609651
"349",366,366,"PT4","Tulip poplar",1,"17%","Canopy",-78.21408207,38.63444792
"354",371,371,"PT6","Tulip poplar",1,"25%","Canopy",-78.21278701,38.6329028
"360",377,377,"PT9","Tulip poplar",2,"29%","Canopy",-78.21439094,38.63415462
"365",382,382,"QW10","Tulip poplar",1,"12%","Canopy",-78.19268741,38.57015683
"378",395,395,"QW7","Tulip poplar",5,"71%","Canopy",-78.19118852,38.57227392
"389",406,406,"RK10","Tulip poplar",1,"20%","Canopy",-78.222795,38.550032
"392",409,409,"RK11","Tulip poplar",1,"17%","Canopy",-78.21937,38.548485
"397",414,414,"RK2","Tulip poplar",2,"50%","Canopy",-78.220671,38.548107
"404",421,421,"RK4","Tulip poplar",1,"11%","Canopy",-78.221328,38.550192
"408",425,425,"RK5","Tulip poplar",2,"25%","Canopy",-78.219692,38.549409
"416",433,433,"RK9","Tulip poplar",3,"75%","Canopy",-78.218171,38.549081
"420",437,437,"RMH10","Tulip poplar",1,"20%","Canopy",-78.19841997,38.60513669
"426",443,443,"RMH2","Tulip poplar",1,"14%","Canopy",-78.19528747,38.60379676
"438",455,455,"RMH8","Tulip poplar",1,"20%","Canopy",-78.19751883,38.59819537
"440",457,457,"RMH9","Tulip poplar",3,"60%","Canopy",-78.19929885,38.59692967
"443",460,460,"RMM1","Tulip poplar",1,"33%","Canopy",-78.20069803,38.60462082
"461",478,478,"SL1","Tulip poplar",4,"80%","Canopy",-78.19477034,38.62236176
"467",484,484,"SL12","Tulip poplar",1,"17%","Canopy",-78.19853844,38.61886169
"475",492,492,"SL3","Tulip poplar",1,"12%","Canopy",-78.19480652,38.62012551
"481",498,498,"SL4","Tulip poplar",1,"10%","Canopy",-78.19612502,38.61897473
"486",503,503,"SL5","Tulip poplar",1,"17%","Canopy",-78.19477474,38.61786737
"488",505,505,"SL6","Tulip poplar",4,"57%","Canopy",-78.1934786,38.61690617
"491",508,508,"SL8","Tulip poplar",3,"75%","Canopy",-78.19564345,38.61477874
"493",510,510,"SL9","Tulip poplar",1,"33%","Canopy",-78.19830825,38.61667681
"499",516,516,"SM13","Tulip poplar",4,"80%","Canopy",-78.20325499,38.58975668
"505",522,522,"SM15","Tulip poplar",2,"67%","Canopy",-78.20884803,38.59040434
"512",529,529,"SM5","Tulip poplar",3,"43%","Canopy",-78.20860482,38.59199634
"515",532,532,"SM6","Tulip poplar",1,"14%","Canopy",-78.20847498,38.59501962
"517",534,534,"SM7","Tulip poplar",3,"50%","Canopy",-78.20880512,38.58880261
"524",541,541,"SM9","Tulip poplar",1,"14%","Canopy",-78.20029856,38.59130149
"542",559,559,"SMH7","Tulip poplar",2,"50%","Canopy",-78.19469286,38.59201311
"545",562,562,"SMH8","Tulip poplar",1,"20%","Canopy",-78.19525866,38.59151318
"550",567,567,"SMH9","Tulip poplar",1,"9%","Canopy",-78.19606692,38.59254544
"559",576,576,"SMS2","Tulip poplar",4,"100%","Canopy",-78.20517713,38.58267054
"565",582,582,"SMS4","Tulip poplar",4,"57%","Canopy",-78.20462425,38.58263361
"570",587,587,"SMS6","Tulip poplar",2,"22%","Canopy",-78.20270522,38.58126096
"574",591,591,"SMS7","Tulip poplar",1,"14%","Canopy",-78.20095706,38.58259881
"582",599,599,"WM1","Tulip poplar",4,"36%","Canopy",-78.212743,38.542724
"585",602,602,"WM10","Tulip poplar",1,"20%","Canopy",-78.213597,38.5461
"593",610,610,"WM13","Tulip poplar",1,"17%","Canopy",-78.218045,38.547809
"598",615,615,"WM15","Tulip poplar",2,"40%","Canopy",-78.216761,38.550086
"603",620,619,"WM3","Tulip poplar",7,"70%","Canopy",-78.217219,38.542496
"604",621,619,"WM3","Tulip poplar",7,"70%","Canopy",-78.21383,38.547947
"606",623,621,"WM4","Tulip poplar",3,"75%","Canopy",-78.211492,38.551358
"609",626,624,"WM5","Tulip poplar",1,"33%","Canopy",-78.209635,38.555795
"617",634,632,"WM8","Tulip poplar",2,"33%","Canopy",-78.214997,38.55092
